duration,hour,days_since_discharge,UserID,Device,user_enc,device_enc,anomaly_score,anomaly
200,8,12,U0215,D042,215,42,0.06870138220739619,0
174,9,5,U0291,D215,291,215,0.08193557068968854,0
206,16,2,U0325,D102,325,102,0.07784058755767986,0
241,11,9,U0267,D128,267,128,0.10401156543311335,0
171,10,11,U0328,D173,328,173,0.11545159864571519,0
171,15,11,U0012,D126,12,126,0.0843723748793907,0
243,11,10,U0023,D106,23,106,0.06543895208766404,0
211,14,19,U0173,D158,173,158,0.07971803352248219,0
161,12,18,U0270,D062,270,62,0.09989417960010977,0
202,12,6,U0429,D173,429,173,0.09323615781243744,0
161,13,15,U0369,D150,369,150,0.1072872856113326,0
161,11,21,U0093,D017,93,17,0.03075804113473024,0
190,9,19,U0095,D189,95,189,0.05749476647932217,0
103,13,15,U0479,D026,479,26,0.02408431772708719,0
111,12,9,U0481,D232,481,232,0.01563054493007565,0
158,10,3,U0034,D043,34,43,0.05822417366122512,0
139,11,5,U0401,D173,401,173,0.08441558588783354,0
193,10,13,U0466,D060,466,60,0.08618685133789167,0
144,10,11,U0241,D139,241,139,0.12131536411618898,0
124,11,10,U0206,D226,206,226,0.0901052537571998,0
239,9,15,U0149,D104,149,104,0.08059660485290338,0
171,11,16,U0280,D015,280,15,0.08644817372541258,0
183,17,16,U0279,D148,279,148,0.09238985668906263,0
123,9,14,U0389,D218,389,218,0.05767705960522068,0
158,17,13,U0163,D099,163,99,0.08946503756196061,0
184,15,7,U0393,D116,393,116,0.10227437135698891,0
134,17,10,U0267,D191,267,191,0.07686284736290694,0
195,12,12,U0324,D122,324,122,0.12287875408480192,0
156,14,10,U0403,D012,403,12,0.08216925514847728,0
168,11,2,U0036,D177,36,177,0.05592210669282338,0
156,17,12,U0495,D127,495,127,0.03881357755345577,0
254,13,10,U0017,D007,17,7,0.011145313190238815,0
179,17,9,U0110,D183,110,183,0.07442471087935199,0
138,11,13,U0487,D183,487,183,0.05739808596504986,0
213,13,13,U0224,D135,224,135,0.11699131150472591,0
131,8,16,U0296,D207,296,207,0.059123386742434725,0
188,13,13,U0267,D214,267,214,0.11127338774005496,0
102,13,8,U0352,D172,352,172,0.06903233254218794,0
127,9,17,U0196,D097,196,97,0.06589326103612841,0
188,17,18,U0328,D151,328,151,0.07824602225121724,0
210,17,10,U0096,D117,96,117,0.08280159507578438,0
187,16,16,U0447,D020,447,20,0.058299763745929434,0
175,13,11,U0157,D140,157,140,0.12597655090120802,0
168,14,16,U0493,D049,493,49,0.06547490516782994,0
121,9,17,U0016,D178,16,178,0.0113514722596334,0
151,9,7,U0034,D003,34,3,0.021685077412564757,0
162,9,17,U0335,D220,335,220,0.06979974881582307,0
222,17,10,U0423,D125,423,125,0.0784062351017294,0
194,16,12,U0402,D187,402,187,0.09260491373499596,0
109,10,16,U0315,D195,315,195,0.060205833048813884,0
193,11,9,U0430,D148,430,148,0.10654694351970218,0
